Item,Reference(s),Description,Qty,Manufacturer,Mfg Part #,Package,Type,Value
1,"C1, C11",,2,,A759KS475M2EAAE496,CP_Radial_D8.0mm_P3.50mm,,"4,7uF"
2,"C2, C3",,2,,C0805C103K5RACTU,C_0805_2012Metric_Pad1.15x1.50mm_HandSolder,,33pf
3,"C4, C5, C6",,3,,R60QF1100AA01K,C_Rect_L13.0mm_W4.0mm_P10.00mm_FKS3_FKP3_MKS4,,1nF
4,C8,,1,,C2012C0G2W102J060AA,C_0805_2012Metric_Pad1.15x1.50mm_HandSolder,,1nF
5,C9,,1,,EEE-FKC271XSP,CP_Elec_6.3x7.7,,270uF
6,C10,,1,,UUD1V680MCL1GS,CP_Elec_6.3x7.7,,68uF
7,C12,,1,,C1206C104K5RAC7867,C_1206_3216Metric_Pad1.24x1.80mm_HandSolder,,100nF
8,"D8, D9, D10",,3,,150060BS75000,LED_0603_1608Metric_Pad0.67x1.00mm_HandSolder,,LED
9,D11,,1,,LTC-4724JR,LTC-4724JR,,LTC-4724JR
10,J1,,1,,S4B-XH-A(LF)(SN),JST_XH_S04B-XH-A-1_1x04_P2.50mm_Horizontal,,THR
11,,,1,,,,,
12,L1,,1,,SDR0503-472JL,SDR0503-XXX,,SDR0503-472JL
13,L2,,1,,74479776247,L_0805_2012Metric_Pad1.15x1.50mm_HandSolder,,74479776247
14,P1,,1,,282836-5,TerminalBlock_bornier-5_P5.08mm,,POWER I/O
15,,,1,,,,,
16,"Q1, Q2, Q3",,3,,FZT493TA,SOT-223,,FZT493TA
17,R1,,1,,,R_1206_3216Metric_Pad1.24x1.80mm_HandSolder,,300k
18,"R2, R20, R21, R22, R23",,5,,ERA-6AEB103V,R_0805_2012Metric_Pad1.15x1.50mm_HandSolder,,10k
19,"R3, R4, R5, R6, R7, R8",,6,,ESR10EZPJ331,R_0805_2012Metric_Pad1.15x1.50mm_HandSolder,,330
20,"R9, R10",,2,,PR01000103309JR500,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,33
21,R11,,1,,PR01000103309JR500,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,100
22,"R12, R13, R14",,3,,ERA-6AEB272V,R_0805_2012Metric_Pad1.15x1.50mm_HandSolder,,2.7k
23,"R15, R16, R17",,3,,RC2512JK-0722RL,R_2512_6332Metric_Pad1.34x3.40mm_HandSolder,,22
24,"R18, R19",,2,,RG2012P-203-B-T5,R_0805_2012Metric_Pad1.15x1.50mm_HandSolder,,20k
25,"R24, R25, R26",,3,,ESR10EZPJ221,R_0805_2012Metric_Pad1.15x1.50mm_HandSolder,,220
26,RV1,,1,,B72214S0351K101,C_Disc_D4.3mm_W1.9mm_P5.00mm,,B72214S0351K101
27,"SW1, SW2, SW3, SW4",,4,,TL3301AF160QG,TL3301AF160QG,,TL3301AF160QG
28,U1,,1,,PIC18F2550-I/SO,SOIC-28W_7.5x17.9mm_P1.27mm,,PIC18F2550-ISO
29,"U2, U3, U4",,3,,MOC3063S-TA1,MOC306X,,MOC3063S-TA1
30,"U5, U6, U7",,3,,Z0103MN 5AA4,SOT-223-Z01,,Z0103MN 5AA4
31,U8,,1,,PBO-3-S5,PBO-3-S5,,PBO-3-S5
32,Y1,,1,,ABLS-20.000MHZ-B2-T,Crystal_SMD_ABLS_HC49-SD,,20MHZ
