Item,Reference(s),Description,Qty,Manufacturer,Mfg Part #,Package,Type,Value
1,BT1,,1,,3000TR,BatteryHolder_Keystone_3000_1x12mm,,3V
2,C1,,1,,EEE-HA1V220WR,CP_Elec_5x5.3,,22uF
3,"C5, C6",,2,,A759KS475M2EAAE496,CP_Radial_D8.0mm_P3.50mm,,"4,7uF"
4,C7,,1,,EEE-1VA100SR,CP_Elec_4x5.3,,10uF
5,C8,,1,,C2012C0G2W102J060AA,C_0805_2012Metric_Pad1.15x1.50mm_HandSolder,,1nF
6,C9,,1,,EEE-1AA101WR,CP_Elec_4x5.3,,100uF
7,C10,,1,,EEE-FK0J271SP,CP_Elec_6.3x7.7,,270uF
8,C11,,1,,UUD1V680MCL1GS,CP_Elec_6.3x7.7,,68uF
9,C12,,1,,GCM21BR72A104KA37L,C_1206_3216Metric_Pad1.24x1.80mm_HandSolder,,100nF
10,"C13, C14, C15",,3,,R60QF1100AA01K,C_Rect_L13.0mm_W4.0mm_P10.00mm_FKS3_FKP3_MKS4,,1nF
11,"D1, D2, D3, D4, D7",,5,,VLMB1300-GS08,LED_0603_1608Metric_Castellated,,LED
12,D5,,1,,MB4S-TP,MBS -1,,Bridge
13,D6,,1,,LS Q976-NR-1,LED_0603_1608Metric_Castellated,,LED
14,F1,,2,,FC-211-22,FC-211-22_M,,1A
15,J1,,1,,DF1BZ-3P-2.5DS,HE_XDF1B_1x03_P2.50mm_Horizontal,,SI
16,J2,,1,,DF1BZ-4P-2.5DS,JST_XH_S04B-XH-A-1_1x04_P2.50mm_Horizontal,,Termistor
17,L2,,1,,SDR0503-472JL,SDR0503-XXX,,SDR0503-472JL
18,L3,,1,,74479776247,L_0805_2012Metric_Pad1.15x1.50mm_HandSolder,,74479776247
19,P1,,1,,691322110005,WE-3221 - 3.50MM,,POWER I/O
20,"R1, R2, R3",,3,,ERA-6AEB101V,R_0805_2012Metric_Pad1.15x1.50mm_HandSolder,,100
21,"R4, R5",,2,,ERA-6AEB222V,R_0805_2012Metric_Pad1.15x1.50mm_HandSolder,,2.2K
22,"R6, R7",,2,,RR1220P-103-D,R_0805_2012Metric_Pad1.15x1.50mm_HandSolder,,10K
23,"R8, R22, R24",,3,,ERA-6AEB101V,R_0805_2012Metric_Pad1.29x1.40mm_HandSolder,,100
24,"R10, R11, R12, R13, R14, R15",,6,,RCS0805330RFKEA,R_0805_2012Metric_Pad1.15x1.50mm_HandSolder,,330
25,"R16, R18",,2,,PR01000103309JR500,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,33
26,R17,,1,,PR01000103309JR500,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,100
27,"R19, R20",,2,,ERA-6AEB6043V,R_0805_2012Metric_Pad1.29x1.40mm_HandSolder,,604K
28,R21,,1,,RR1220P-103-D,R_0805_2012Metric_Pad1.29x1.40mm_HandSolder,,10k
29,R23,,1,,RR1220P-103-D,R_0805_2012Metric_Pad1.29x1.40mm_HandSolder,,10K
30,RV1,,1,,B72214S0351K101,C_Disc_D4.3mm_W1.9mm_P5.00mm,,B72214S0351K101
31,SW1,,1,,EVQ-PUA02K,Panasonic_EVQPUL_EVQPUC,,RST
32,U2,,1,,OM-O2P,OMEGA_2,,OMEGA_2
33,U3,,1,,TLV1117-33CDCYR,SOT-223,,AP111733
34,U4,,1,,PBO-3-S5,PBO-3-S5,,PBO-3-S5
35,"U5, U6, U7",,3,,MOC3063S-TA1,MOC306X,,MOC3063S-TA1
36,"U8, U9, U10",,3,,Z0103MN 5AA4,SOT-223-Z01,,Z0103MN 5AA4
37,U11,,1,,TLA2024IRUGT,PQFP-N10,,TLA2024IRUGT
38,U12,,1,,DS1307Z+T&R,SOIC-8_3.9x4.9mm_P1.27mm,,DS1307Z+
39,Y1,,1,,AB38T-32.768KHZ,Crystal_AT310_D3.0mm_L10.0mm_Horizontal,,32.768KHZ
